author_name,review_text
Shara Moore,What’s more to say about the computer really? I love all my Apple products. I am impressed by the fast shipping experience. They wasted no time and when I emailed about getting an invoice it came right away. This seller is top notch.
Cheryl Tilghman,"Loving my new MacBook Air laptop computer! My desktop Mac computer was great but I needed a laptop to travel with so this one was right on time! I love the usability, size and color! Only issue is I’m only able to print from printers with AirPrint. Can’t use a USB cord."
ATLANTIC SKY,Its perfect
Tracy baldoni,"I’ve had this laptop for almost a year and I absolutely love it.. I got the starlight color..a little pricey, but totally worth it. The battery life is amazing."
NF,"Portable, easy to use, easy to set up . Decent battery life ."
Christian Cribbs,I work from home so this was a Necessity!! Couldn’t love it any more!
Amazon Customer,"I have had my macbook for two months now and it is amazin, everyone compliments how sleek and smooth it looks and runs. If you are thinking about it please buy!! I would recommend this one over the 15 inch everyday because of how lights it is and if you are a student this is the perfect macbook for you!"
KarenPaty,Like
myjacksg,"good product, good price, would recommend to everyone"
Sharon S. Olson,She has been very happy with memory and speed so far
"Muy bonita, delgada y ligera. Es muy rápida. Venía muy bien asegurada en su caja. Con caja y todo peso como unas 6 libras",
"They run too small way too tight. And unfortunately, I threw away the box and bag so I cannot return them.",I bought this computer for my daughter for her freshman year in college. She loves it.
MD Havard,I’ve been happy with my purchase so far
Jose Duran,La laptop es eficiente y funciona excelentemente
BigJ,"I use this laptop for everything, and getting the free shipping on it was much cheaper than through apple"
KC,"I use the laptop for things such as browsing the web, occasional photo/video editing, some small spreadsheets, docs, emails, watching Youtube, Hulu, etc... pretty simple/basic stuff. I don't have 15 windows open and don't use it for work. Keyboard feels good (happy they replaced the butterfly keyboard), laptop is very responsive for my usages, has 2 - USB C ports, camera looks good, screen looks good, and only supports one external monitor. If you don't need multiple monitors and 15 windows open simultaneously it's a great laptop."
alchemist,"This was just what I was hoping it would be. It’s easy to toss around in my backpack. It’s fast and has wonderful graphics. I retired recently but still need a laptop and this does just about everything. I can even charge it on the same C cable I use for everything else although it does have a magnetic charging cable as well. I bought a 100 watt charging block with ports for everything and with that and whatever other electronics I need I still have a light backpack. It’s heavier than previous models but it’s put together better too, not to mention I got the upgraded memory as well. Great Apple product as usual."
